dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
fashion-mnist-784-euclidean,baseline_beam4,baseline,0,4,238.086,238.086,0.0,11.984,0.92,0.8603999999999944,0.5293499999999993,0.92
fashion-mnist-784-euclidean,baseline_beam8,baseline,0,8,287.147,287.147,0.0,15.664,0.964,0.9439999999999974,0.6732199999999993,0.964
fashion-mnist-784-euclidean,baseline_beam16,baseline,0,16,368.234,368.234,0.0,23.241,0.979,0.9769999999999989,0.8242499999999999,0.979
fashion-mnist-784-euclidean,baseline_beam32,baseline,0,32,502.111,502.111,0.0,38.877,0.989,0.9901999999999994,0.9370900000000062,0.989
fashion-mnist-784-euclidean,baseline_beam64,baseline,0,64,714.462,714.462,0.0,70.567,0.996,0.9969999999999996,0.9856900000000047,0.996
fashion-mnist-784-euclidean,baseline_beam96,baseline,0,96,890.503,890.503,0.0,102.343,0.997,0.9975999999999996,0.9942600000000026,0.997
fashion-mnist-784-euclidean,baseline_beam144,baseline,0,144,1118.045,1118.045,0.0,150.06,0.997,0.9982999999999997,0.9972800000000013,0.997
fashion-mnist-784-euclidean,baseline_beam216,baseline,0,216,1415.821,1415.821,0.0,221.789,0.998,0.9987999999999997,0.9984800000000009,0.998
fashion-mnist-784-euclidean,baseline_beam324,baseline,0,324,1801.231,1801.231,0.0,329.551,0.998,0.9990999999999999,0.9990400000000005,0.998
fashion-mnist-784-euclidean,baseline_beam486,baseline,0,486,2298.41,2298.41,0.0,491.277,0.999,0.9994999999999998,0.9993400000000003,0.999
fashion-mnist-784-euclidean,baseline_beam729,baseline,0,729,2939.918,2939.918,0.0,733.926,0.999,0.9996999999999999,0.9995700000000003,0.999
fashion-mnist-784-euclidean,baseline_beam1093,baseline,0,1093,3772.301,3772.301,0.0,1097.583,1.0,0.9997999999999999,0.9996400000000002,1.0
fashion-mnist-784-euclidean,baseline_beam1639,baseline,0,1639,4877.906,4877.906,0.0,1643.158,1.0,0.9997999999999999,0.9997000000000001,1.0
fashion-mnist-784-euclidean,baseline_beam2458,baseline,0,2458,6385.037,6385.037,0.0,2461.715,1.0,0.9997999999999999,0.9997800000000002,1.0
fashion-mnist-784-euclidean,cluster_centroid_beam4,cluster_centroid,3000,4,251.097,202.386,48.711,10.351,0.874,0.8184999999999962,0.48924999999999996,0.874
fashion-mnist-784-euclidean,cluster_centroid_beam8,cluster_centroid,3000,8,299.318,246.902,52.416,14.042,0.934,0.9137999999999965,0.6307900000000001,0.934
fashion-mnist-784-euclidean,cluster_centroid_beam16,cluster_centroid,3000,16,380.744,322.615,58.129,21.693,0.968,0.9649999999999974,0.7886499999999994,0.968
fashion-mnist-784-euclidean,cluster_centroid_beam32,cluster_centroid,3000,32,512.796,446.3,66.496,37.306,0.985,0.9866999999999988,0.913420000000005,0.985
fashion-mnist-784-euclidean,cluster_centroid_beam64,cluster_centroid,3000,64,723.133,643.865,79.268,68.908,0.991,0.9938999999999992,0.9745000000000058,0.991
fashion-mnist-784-euclidean,cluster_centroid_beam96,cluster_centroid,3000,96,898.066,808.491,89.575,100.692,0.992,0.9953999999999992,0.9884000000000042,0.992
fashion-mnist-784-euclidean,cluster_centroid_beam144,cluster_centroid,3000,144,1124.843,1022.204,102.639,148.49,0.993,0.9965999999999995,0.9937900000000033,0.993
fashion-mnist-784-euclidean,cluster_centroid_beam216,cluster_centroid,3000,216,1418.389,1299.308,119.081,220.244,0.996,0.9977999999999995,0.9961500000000023,0.996
fashion-mnist-784-euclidean,cluster_centroid_beam324,cluster_centroid,3000,324,1797.587,1657.989,139.598,327.977,0.996,0.9982999999999996,0.9972500000000016,0.996
fashion-mnist-784-euclidean,cluster_centroid_beam486,cluster_centroid,3000,486,2286.716,2121.355,165.361,489.722,0.996,0.9987999999999997,0.9979000000000012,0.996
fashion-mnist-784-euclidean,cluster_centroid_beam729,cluster_centroid,3000,729,2919.102,2721.371,197.731,732.45,0.997,0.9990999999999998,0.9984900000000011,0.997
fashion-mnist-784-euclidean,cluster_centroid_beam1093,cluster_centroid,3000,1093,3737.994,3498.332,239.662,1096.104,0.998,0.9993999999999998,0.9987000000000009,0.998
fashion-mnist-784-euclidean,cluster_centroid_beam1639,cluster_centroid,3000,1639,4819.916,4524.834,295.082,1641.738,0.998,0.9994999999999998,0.9989400000000007,0.998
fashion-mnist-784-euclidean,cluster_centroid_beam2458,cluster_centroid,3000,2458,6294.948,5924.393,370.555,2460.348,0.998,0.9994999999999998,0.9990200000000007,0.998
