dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
glove-200-angular,baseline_beam4,baseline,0,4,247.1,247.1,0.0,8.953,0.15,0.14789999999999984,0.0992300000000001,0.15
glove-200-angular,baseline_beam8,baseline,0,8,383.595,383.595,0.0,14.613,0.238,0.23699999999999966,0.17153000000000007,0.238
glove-200-angular,baseline_beam16,baseline,0,16,608.647,608.647,0.0,24.804,0.331,0.33189999999999986,0.2631300000000001,0.331
glove-200-angular,baseline_beam32,baseline,0,32,1000.834,1000.834,0.0,44.533,0.464,0.4613,0.3884299999999997,0.464
glove-200-angular,baseline_beam64,baseline,0,64,1663.331,1663.331,0.0,81.834,0.608,0.5987999999999991,0.5231599999999998,0.608
glove-200-angular,baseline_beam96,baseline,0,96,2218.83,2218.83,0.0,115.89,0.668,0.648899999999999,0.5804900000000002,0.668
glove-200-angular,baseline_beam144,baseline,0,144,3000.52,3000.52,0.0,166.688,0.731,0.7088999999999989,0.639420000000001,0.731
glove-200-angular,baseline_beam216,baseline,0,216,4094.041,4094.041,0.0,241.682,0.786,0.7656999999999987,0.696380000000001,0.786
glove-200-angular,baseline_beam324,baseline,0,324,5605.705,5605.705,0.0,351.557,0.829,0.8152999999999987,0.748660000000002,0.829
glove-200-angular,baseline_beam486,baseline,0,486,7682.72,7682.72,0.0,510.797,0.862,0.848199999999999,0.7854700000000008,0.862
glove-200-angular,baseline_beam729,baseline,0,729,10651.537,10651.537,0.0,749.596,0.887,0.8739999999999989,0.8166200000000015,0.887
glove-200-angular,baseline_beam1093,baseline,0,1093,14933.231,14933.231,0.0,1108.449,0.903,0.893999999999999,0.8438500000000028,0.903
glove-200-angular,baseline_beam1639,baseline,0,1639,21156.154,21156.154,0.0,1649.784,0.916,0.9129999999999988,0.8683200000000016,0.916
glove-200-angular,baseline_beam2458,baseline,0,2458,30171.376,30171.376,0.0,2465.67,0.931,0.9297999999999984,0.8913100000000022,0.931
glove-200-angular,baseline_beam3687,baseline,0,3687,43245.467,43245.467,0.0,3692.653,0.946,0.9443999999999977,0.9114000000000022,0.946
glove-200-angular,baseline_beam5530,baseline,0,5530,62080.656,62080.656,0.0,5533.84,0.96,0.9570999999999977,0.9295400000000025,0.96
glove-200-angular,baseline_beam8295,baseline,0,8295,88979.426,88979.426,0.0,8297.647,0.969,0.9655999999999976,0.9450300000000027,0.969
glove-200-angular,baseline_beam12442,baseline,0,12442,126814.31,126814.31,0.0,12443.857,0.976,0.974499999999998,0.9586600000000022,0.976
glove-200-angular,cluster_centroid_beam4,cluster_centroid,50000,4,274.415,168.484,105.931,9.001,0.271,0.24239999999999973,0.14075,0.271
glove-200-angular,cluster_centroid_beam8,cluster_centroid,50000,8,402.678,255.405,147.273,14.298,0.37,0.34490000000000043,0.21842000000000036,0.37
glove-200-angular,cluster_centroid_beam16,cluster_centroid,50000,16,611.233,402.125,209.108,23.735,0.489,0.4575999999999999,0.3159999999999998,0.489
glove-200-angular,cluster_centroid_beam32,cluster_centroid,50000,32,954.407,653.719,300.688,40.734,0.588,0.5620999999999997,0.41930000000000006,0.588
glove-200-angular,cluster_centroid_beam64,cluster_centroid,50000,64,1574.78,1122.293,452.487,74.073,0.683,0.6579999999999981,0.5231900000000003,0.683
glove-200-angular,cluster_centroid_beam96,cluster_centroid,50000,96,2143.158,1570.405,572.753,106.244,0.739,0.7078999999999976,0.5795700000000009,0.739
glove-200-angular,cluster_centroid_beam144,cluster_centroid,50000,144,2954.085,2223.606,730.479,154.231,0.787,0.7510999999999977,0.6315800000000018,0.787
glove-200-angular,cluster_centroid_beam216,cluster_centroid,50000,216,4113.957,3169.388,944.569,225.317,0.826,0.7891999999999976,0.6787800000000013,0.826
glove-200-angular,cluster_centroid_beam324,cluster_centroid,50000,324,5812.252,4575.259,1236.993,332.447,0.86,0.8219999999999983,0.722290000000001,0.86
glove-200-angular,cluster_centroid_beam486,cluster_centroid,50000,486,8259.429,6628.741,1630.688,493.085,0.894,0.8528999999999992,0.7644900000000017,0.894
glove-200-angular,cluster_centroid_beam729,cluster_centroid,50000,729,11802.546,9635.108,2167.438,734.079,0.911,0.8786999999999986,0.8003800000000012,0.911
glove-200-angular,cluster_centroid_beam1093,cluster_centroid,50000,1093,16949.877,14045.611,2904.266,1096.905,0.927,0.904599999999998,0.8355200000000014,0.927
glove-200-angular,cluster_centroid_beam1639,cluster_centroid,50000,1639,24378.393,20469.268,3909.125,1642.07,0.944,0.9240999999999978,0.8657400000000023,0.944
glove-200-angular,cluster_centroid_beam2458,cluster_centroid,50000,2458,35118.443,29851.638,5266.805,2460.5,0.956,0.9411999999999974,0.8929600000000036,0.956
glove-200-angular,cluster_centroid_beam3687,cluster_centroid,50000,3687,50599.256,43515.111,7084.145,3688.939,0.968,0.9554999999999977,0.9170700000000036,0.968
glove-200-angular,cluster_centroid_beam5530,cluster_centroid,50000,5530,72813.266,63337.673,9475.593,5531.525,0.978,0.9689999999999976,0.9376600000000033,0.978
glove-200-angular,cluster_centroid_beam8295,cluster_centroid,50000,8295,104495.784,91937.028,12558.756,8296.226,0.982,0.9777999999999978,0.9549800000000025,0.982
