dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
nytimes-256-angular,baseline_beam4,baseline,0,4,219.5,219.5,0.0,8.44,0.382,0.3407999999999996,0.18181999999999987,0.382
nytimes-256-angular,baseline_beam8,baseline,0,8,349.308,349.308,0.0,14.078,0.564,0.4923999999999996,0.27582,0.564
nytimes-256-angular,baseline_beam16,baseline,0,16,549.962,549.962,0.0,23.26,0.674,0.6060000000000001,0.3733600000000002,0.674
nytimes-256-angular,baseline_beam32,baseline,0,32,886.536,886.536,0.0,39.068,0.776,0.7034000000000004,0.4779399999999998,0.776
nytimes-256-angular,baseline_beam64,baseline,0,64,1519.878,1519.878,0.0,69.894,0.87,0.8033999999999997,0.6069999999999998,0.87
nytimes-256-angular,cluster_centroid_beam4,cluster_centroid,120,4,211.254,177.128,34.126,6.778,0.496,0.41699999999999965,0.21192000000000016,0.496
nytimes-256-angular,cluster_centroid_beam8,cluster_centroid,120,8,321.174,282.272,38.902,11.342,0.596,0.5202,0.2853600000000002,0.596
nytimes-256-angular,cluster_centroid_beam16,cluster_centroid,120,16,515.388,469.228,46.16,19.812,0.696,0.6166000000000005,0.3731799999999998,0.696
nytimes-256-angular,cluster_centroid_beam32,cluster_centroid,120,32,860.82,804.0,56.82,35.57,0.778,0.7023999999999999,0.4761200000000003,0.778
nytimes-256-angular,cluster_centroid_beam64,cluster_centroid,120,64,1510.846,1438.362,72.484,66.584,0.862,0.8015999999999996,0.6055199999999996,0.862
nytimes-256-angular,bridge_beam4,bridge,120,4,219.568,219.018,0.55,8.422,0.376,0.3377999999999996,0.17917999999999987,0.376
nytimes-256-angular,bridge_beam8,bridge,120,8,349.874,348.972,0.902,14.104,0.558,0.4917999999999997,0.2749800000000001,0.558
nytimes-256-angular,bridge_beam16,bridge,120,16,543.372,542.02,1.352,23.018,0.668,0.6006000000000001,0.36907999999999985,0.668
nytimes-256-angular,bridge_beam32,bridge,120,32,886.684,884.5,2.184,39.232,0.772,0.7048000000000003,0.47825999999999924,0.772
nytimes-256-angular,bridge_beam64,bridge,120,64,1510.246,1506.666,3.58,69.762,0.864,0.7991999999999998,0.6049999999999999,0.864
