dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
sift-128-euclidean,baseline_beam4,baseline,0,4,523.506,523.506,0.0,10.299,0.791,0.7101999999999989,0.4320200000000001,0.792
sift-128-euclidean,baseline_beam8,baseline,0,8,673.146,673.146,0.0,14.096,0.889,0.8431999999999954,0.5739199999999995,0.891
sift-128-euclidean,baseline_beam16,baseline,0,16,939.873,939.873,0.0,21.574,0.956,0.932099999999996,0.7331499999999994,0.96
sift-128-euclidean,baseline_beam32,baseline,0,32,1437.464,1437.464,0.0,36.909,0.985,0.9780999999999981,0.8720100000000016,0.989
sift-128-euclidean,baseline_beam64,baseline,0,64,2341.528,2341.528,0.0,68.416,0.995,0.9950999999999992,0.9581900000000073,0.999
sift-128-euclidean,baseline_beam96,baseline,0,96,3156.194,3156.194,0.0,100.218,0.996,0.9971999999999996,0.9836500000000056,1.0
sift-128-euclidean,baseline_beam144,baseline,0,144,4271.84,4271.84,0.0,147.993,0.996,0.9977999999999997,0.9939300000000032,1.0
sift-128-euclidean,baseline_beam216,baseline,0,216,5781.567,5781.567,0.0,219.833,0.996,0.9986999999999998,0.9978100000000014,1.0
sift-128-euclidean,baseline_beam324,baseline,0,324,7816.456,7816.456,0.0,327.682,0.996,0.9988999999999999,0.9993500000000005,1.0
sift-128-euclidean,baseline_beam486,baseline,0,486,10525.501,10525.501,0.0,489.528,0.996,0.9989999999999999,0.9998000000000001,1.0
sift-128-euclidean,baseline_beam729,baseline,0,729,14109.553,14109.553,0.0,732.352,0.996,0.9989999999999999,0.9998900000000001,1.0
sift-128-euclidean,baseline_beam1093,baseline,0,1093,18822.917,18822.917,0.0,1096.2,0.996,0.9989999999999999,0.9999100000000001,1.0
sift-128-euclidean,baseline_beam1639,baseline,0,1639,24985.076,24985.076,0.0,1642.042,0.996,0.9989999999999999,0.9999100000000001,1.0
sift-128-euclidean,baseline_beam2458,baseline,0,2458,32982.316,32982.316,0.0,2460.905,0.996,0.9989999999999999,0.9999100000000001,1.0
sift-128-euclidean,baseline_beam3687,baseline,0,3687,43310.206,43310.206,0.0,3689.722,0.996,0.9989999999999999,0.9999100000000001,1.0
sift-128-euclidean,baseline_beam5530,baseline,0,5530,56540.437,56540.437,0.0,5532.564,0.996,0.9989999999999999,0.9999100000000001,1.0
sift-128-euclidean,baseline_beam8295,baseline,0,8295,73336.806,73336.806,0.0,8297.406,0.996,0.9989999999999999,0.9999100000000001,1.0
sift-128-euclidean,baseline_beam12442,baseline,0,12442,94446.718,94446.718,0.0,12444.23,0.996,0.9989999999999999,0.9999100000000001,1.0
sift-128-euclidean,baseline_beam18663,baseline,0,18663,120731.556,120731.556,0.0,18665.042,0.996,0.9989999999999999,0.9999100000000001,1.0
sift-128-euclidean,cluster_centroid_beam4,cluster_centroid,150000,4,457.867,226.118,231.749,9.61,0.706,0.599899999999999,0.31971000000000005,0.71
sift-128-euclidean,cluster_centroid_beam8,cluster_centroid,150000,8,595.655,313.378,282.277,13.362,0.834,0.7424999999999983,0.44481,0.838
sift-128-euclidean,cluster_centroid_beam16,cluster_centroid,150000,16,842.573,473.972,368.601,20.763,0.913,0.861599999999997,0.6009099999999996,0.917
