dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
yfcc-10M-u8-192-l2,baseline_beam4,baseline,0,4,542.453,542.453,0.0,10.362,0.832,0.7539999999999979,0.52662,0.832
yfcc-10M-u8-192-l2,baseline_beam8,baseline,0,8,690.506,690.506,0.0,14.218,0.914,0.8695999999999962,0.6726199999999988,0.914
yfcc-10M-u8-192-l2,baseline_beam16,baseline,0,16,940.936,940.936,0.0,21.693,0.952,0.9373999999999973,0.8103599999999997,0.952
yfcc-10M-u8-192-l2,baseline_beam32,baseline,0,32,1391.535,1391.535,0.0,37.236,0.981,0.9785999999999986,0.916000000000006,0.981
yfcc-10M-u8-192-l2,baseline_beam64,baseline,0,64,2166.424,2166.424,0.0,68.712,0.992,0.992099999999999,0.9700500000000064,0.992
yfcc-10M-u8-192-l2,baseline_beam96,baseline,0,96,2853.889,2853.889,0.0,100.483,0.997,0.9958999999999995,0.9857400000000037,0.997
yfcc-10M-u8-192-l2,baseline_beam144,baseline,0,144,3792.268,3792.268,0.0,148.204,0.998,0.9976999999999996,0.993190000000003,0.998
yfcc-10M-u8-192-l2,baseline_beam216,baseline,0,216,5062.23,5062.23,0.0,219.976,0.998,0.9985999999999998,0.996520000000002,0.998
yfcc-10M-u8-192-l2,baseline_beam324,baseline,0,324,6778.912,6778.912,0.0,327.725,0.999,0.9992999999999999,0.9983000000000011,0.999
yfcc-10M-u8-192-l2,baseline_beam486,baseline,0,486,9099.158,9099.158,0.0,489.493,1.0,0.9993999999999998,0.9991100000000006,1.0
yfcc-10M-u8-192-l2,baseline_beam729,baseline,0,729,12221.268,12221.268,0.0,732.247,1.0,0.9994999999999998,0.9995200000000003,1.0
yfcc-10M-u8-192-l2,baseline_beam1093,baseline,0,1093,16397.636,16397.636,0.0,1095.991,1.0,0.9994999999999998,0.9996700000000003,1.0
yfcc-10M-u8-192-l2,baseline_beam1639,baseline,0,1639,21980.036,21980.036,0.0,1641.867,1.0,0.9994999999999998,0.9997400000000002,1.0
yfcc-10M-u8-192-l2,baseline_beam2458,baseline,0,2458,29503.945,29503.945,0.0,2460.437,1.0,0.9996999999999999,0.9998000000000001,1.0
yfcc-10M-u8-192-l2,baseline_beam3687,baseline,0,3687,39634.999,39634.999,0.0,3689.343,1.0,0.9996999999999999,0.9998400000000002,1.0
yfcc-10M-u8-192-l2,baseline_beam5530,baseline,0,5530,53179.009,53179.009,0.0,5531.928,1.0,0.9997999999999999,0.9998700000000001,1.0
yfcc-10M-u8-192-l2,baseline_beam8295,baseline,0,8295,71087.776,71087.776,0.0,8296.572,1.0,0.9997999999999999,0.9998800000000001,1.0
yfcc-10M-u8-192-l2,baseline_beam12442,baseline,0,12442,94640.509,94640.509,0.0,12443.271,1.0,0.9997999999999999,0.9998900000000001,1.0
yfcc-10M-u8-192-l2,baseline_beam18663,baseline,0,18663,125530.665,125530.665,0.0,18664.029,1.0,0.9997999999999999,0.9998900000000001,1.0
yfcc-10M-u8-192-l2,cluster_centroid_beam4,cluster_centroid,250000,4,483.399,157.895,325.504,9.137,0.716,0.5823999999999991,0.3088700000000003,0.716
yfcc-10M-u8-192-l2,cluster_centroid_beam8,cluster_centroid,250000,8,616.528,222.594,393.934,12.825,0.831,0.7222999999999978,0.4344900000000003,0.831
yfcc-10M-u8-192-l2,cluster_centroid_beam16,cluster_centroid,250000,16,850.863,343.801,507.062,20.373,0.91,0.8370999999999981,0.5913299999999992,0.91
yfcc-10M-u8-192-l2,cluster_centroid_beam32,cluster_centroid,250000,32,1280.205,572.233,707.972,35.933,0.955,0.9168999999999977,0.7460800000000006,0.955
yfcc-10M-u8-192-l2,cluster_centroid_beam64,cluster_centroid,250000,64,2039.006,991.146,1047.86,67.565,0.982,0.9575999999999978,0.8659100000000023,0.982
yfcc-10M-u8-192-l2,cluster_centroid_beam96,cluster_centroid,250000,96,2718.102,1376.92,1341.182,99.359,0.989,0.9754999999999984,0.9122100000000034,0.989
yfcc-10M-u8-192-l2,cluster_centroid_beam144,cluster_centroid,250000,144,3646.396,1917.892,1728.504,147.163,0.991,0.9844999999999985,0.9446000000000039,0.991
yfcc-10M-u8-192-l2,cluster_centroid_beam216,cluster_centroid,250000,216,4913.582,2669.117,2244.465,218.948,0.995,0.9900999999999988,0.9664000000000041,0.995
yfcc-10M-u8-192-l2,cluster_centroid_beam324,cluster_centroid,250000,324,6654.088,3724.323,2929.765,326.777,0.996,0.9935999999999993,0.9799400000000039,0.996
yfcc-10M-u8-192-l2,cluster_centroid_beam486,cluster_centroid,250000,486,9027.486,5194.444,3833.042,488.554,0.997,0.9954999999999993,0.9885000000000034,0.997
yfcc-10M-u8-192-l2,cluster_centroid_beam729,cluster_centroid,250000,729,12264.464,7245.716,5018.748,731.336,0.999,0.9971999999999995,0.9931200000000031,0.999
yfcc-10M-u8-192-l2,cluster_centroid_beam1093,cluster_centroid,250000,1093,16655.358,10079.749,6575.609,1095.14,1.0,0.9983999999999997,0.9960200000000023,1.0
yfcc-10M-u8-192-l2,cluster_centroid_beam1639,cluster_centroid,250000,1639,22611.603,13999.666,8611.937,1640.975,1.0,0.9990999999999999,0.9974800000000017,1.0
yfcc-10M-u8-192-l2,cluster_centroid_beam2458,cluster_centroid,250000,2458,30719.463,19437.214,11282.249,2459.73,1.0,0.9994,0.9984400000000012,1.0
yfcc-10M-u8-192-l2,cluster_centroid_beam3687,cluster_centroid,250000,3687,41697.745,26942.632,14755.113,3688.485,1.0,0.9994999999999998,0.9990000000000007,1.0
yfcc-10M-u8-192-l2,cluster_centroid_beam5530,cluster_centroid,250000,5530,56579.85,37311.421,19268.429,5531.274,1.0,0.9996999999999999,0.9992900000000007,1.0
yfcc-10M-u8-192-l2,cluster_centroid_beam8295,cluster_centroid,250000,8295,76567.331,51497.456,25069.875,8296.052,1.0,0.9996999999999999,0.9994800000000005,1.0
yfcc-10M-u8-192-l2,cluster_centroid_beam12442,cluster_centroid,250000,12442,103286.519,70819.803,32466.716,12442.809,1.0,0.9996999999999999,0.9996200000000004,1.0
